"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5384","Empty Password","firefox","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","6665","Invalid Username and Password","webkit","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","3251","Empty Username","chromium","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","4287","Empty Password","chromium","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","3128","Empty Username","firefox","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","3415","Empty Username","webkit","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","0","get started link","webkit","2026-05-21","skipped","2026-05-21","","example.spec.ts","",""
"","14299","Login Test","webkit","2026-05-28","passed","2026-05-28","","login.spec.ts","",""
"","38244","has title","firefox","2026-05-20","passed","2026-05-20","","example.spec.ts","",""
"","6484","Invalid Username and Password","firefox","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","1919","has title","webkit","2026-05-20","passed","2026-05-20","","example.spec.ts","",""
"","0","get started link","firefox","2026-05-21","skipped","2026-05-21","","example.spec.ts","",""
"","82458","has title","chromium","2026-05-21","failed","2026-05-21","","example.spec.ts","",""
"","14549","Login Test","chromium","2026-05-28","passed","2026-05-28","","login.spec.ts","",""
"","1","get started link","chromium","2026-05-21","skipped","2026-05-21","","example.spec.ts","",""
"","4988","Invalid Username and Password","chromium","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
"","15202","Login Test","firefox","2026-05-28","passed","2026-05-28","","login.spec.ts","",""
"","3445","Empty Password","webkit","2026-05-28","passed","2026-05-28","Negative Login Tests","loginNegative.spec.ts","",""
